,,,,,,,,,,,Price,,,,,,,,,Shopee,,,,Laz
Brand,Catagory,Type,SKU,Reference Name,Listing Variation Name,Set Number,File Name,Simplyprint File ID,Weight (g),Print Time,MY,SG,Listing Title,Listing Description,Ref,Files,Express,Pictures,Seal Sticker,My,SG,TH,PH,My
Blocked Off,Icons,WM,BLO-ICN-10300-WM,Back To The Future Time Machine Delorean - 10300 - WM,Wall Mount,10300,Back To The Future Time Machine Delorean-10300 - WM - 102g-160m-a1m.gcode,,102,160,33.00,23.00,Wall Mount For Lego Icons Back To The Future Time Machine (10300),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Compatible with set 10300 
- Display stand wall mount specifically designed for LEGO Diorama Jaws 21350
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package = Box = Contain
- 2x Horizontal Wall Mount
- 1x Minifig Wall Mount
- 4x Stud & Wall Screw

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect instal of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://cults3d.com/en/3d-model/home/wall-mount-for-lego-back-to-the-future-time-machine-10300-delorean,https://drive.google.com/drive/folders/13ulHOwF5VP0Kmtqll4aqPxTi2iuzfGws?usp=drive_link,https://new.express.adobe.com/id/urn:aaid:sc:AP:e4110166-4cf0-5e77-9f1d-6bffb5890237,https://drive.google.com/drive/folders/1R-2wAMSpDesTEoe3xDuHLeCfTL1IHbYu?usp=drive_link,,https://seller.shopee.com.my/portal/product/24178091893,https://seller.shopee.sg/portal/product/26104312321,https://seller.shopee.co.th/portal/product/46950742067?pageEntry=product_list,https://seller.shopee.ph/portal/product/53100726834?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.6a714edfkKky7f&productId=4123764063
Blocked Off,Icons,DS,BLO-ICN-10300-DS,Back To The Future Time Machine Delorean - 10301 - DS,Display Stand,10300,Back To The Future Time Machine Delorean-10300 - DS - 85g-133g-a1.gcode,,85,133,27.00,18.00,Display Stand for Lego Icons Back to the Future Time Machine DeLorean DMC-12 (10300),"Lego NOT Included - Display Stands ONLY

Lego TIDAK Termasuk - Display Stand SAHAJA



Product Description:

- Display stand specifically designed for Lego Icons Back to the Future Time Machine DeLorean DMC-12 (10300)

- Constructed with strong and durable PLA+ material

- Easy to assemble

- Secure construction



Package Contents:

- 1x Display Stand Set



Disclaimer:

- LEGO set is NOT included

- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/sklep/podstawki-pod-klocki/speed-champions/podstawka-do-lego-creator-expert-10300-back-to-the-future-time-machine-delorean-dmc-12/,,https://new.express.adobe.com/id/urn:aaid:sc:AP:bb0c00cf-7782-5775-8a07-4003fb8a0226?category=search&q=back+to+the+future,https://drive.google.com/drive/folders/1c3ze25ynC4eAZFjdBqs23M2-fswDABdV?usp=drive_link,,https://seller.shopee.com.my/portal/product/18287634183,https://seller.shopee.sg/portal/product/27254370359,https://seller.shopee.co.th/portal/product/46950742035?pageEntry=product_list,https://seller.shopee.ph/portal/product/43376081320?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.6d094edfGSfwhZ&productId=4131441273
Blocked Off,Icons,DS,BLO-ICN-40580-DS,Blacktron Cruiser - 40580 - DS,Base - Text,40580,Blacktron Cruiser-40580 - DS - 46g-90m-a1m.gcode | Blacktron Cruiser-40580 - PLATE-a1m.gcode,,46,90,23.00,18.00,Display Stand for Lego Icons Blacktron Cruiser (40580),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for Lego Icons Blacktron Cruiser (40580)
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/shop/pola-produktow/standardowa-podstawka-lego/podstawka-pod-lego-icons-40580-blacktron-cruiser/,,https://new.express.adobe.com/id/urn:aaid:sc:AP:925ebf8f-21ef-5a7f-933c-7dc2d681f035?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/17Dn0pHUQgc_UBlH9t2lZBA2dcMf76v-v?usp=drive_link,,https://seller.shopee.com.my/portal/product/24832291891,https://seller.shopee.sg/portal/product/27904370242,https://seller.shopee.co.th/portal/product/51050727087?pageEntry=product_list,https://seller.shopee.ph/portal/product/52700726800?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.5d094edfknX6td&productId=4131448215
Blocked Off,Icons,DS-NP,BLO-ICN-40580-DS-NP,Blacktron Cruiser - 40580 - DS-NP,Base - Blank,40580,Blacktron Cruiser-40580 - DS-NP - 49g-90m-a1m.gcode,,49,90,23.00,18.00,Display Stand for Lego Icons Blacktron Cruiser (40580),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for Lego Icons Blacktron Cruiser (40580)
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/shop/pola-produktow/standardowa-podstawka-lego/podstawka-pod-lego-icons-40580-blacktron-cruiser/,,https://new.express.adobe.com/id/urn:aaid:sc:AP:925ebf8f-21ef-5a7f-933c-7dc2d681f035?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/17Dn0pHUQgc_UBlH9t2lZBA2dcMf76v-v?usp=drive_link,,https://seller.shopee.com.my/portal/product/24832291891,https://seller.shopee.sg/portal/product/27904370242,https://seller.shopee.co.th/portal/product/51050727087?pageEntry=product_list,https://seller.shopee.ph/portal/product/52700726800?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.5d094edfknX6td&productId=4131448215
Blocked Off,Icons,DS,BLO-ICN-10355-DS,Blacktron Renegade - 10355 - DS,Base - Text,10355,Blacktron Renegade-10355 - DS - 111g-160m-a1.gcode | Blacktron Renegade-10355 - PLATE-a1m.gcode,,111,160,33.00,23.00,Display Stand for Lego Icons Blacktron Renegade (10355),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for Lego Icons Blacktron Renegade (10355)
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/shop/pola-produktow/standardowa-podstawka-lego/podstawka-do-lego-icons-10355-blacktron-renegade/,,https://new.express.adobe.com/id/urn:aaid:sc:AP:b996d8da-f65f-4535-98f3-450f279d25ca?invite=true&accept=true%3Fpreload%3Dsharesheet&promoid=Z2G1FQKR&mv=other,https://drive.google.com/drive/folders/1LCaCqEfhIOeMbozDql7s_cFwtijtAPXp?usp=drive_link,,https://seller.shopee.com.my/portal/product/28076776701,https://seller.shopee.sg/portal/product/28876781669,https://seller.shopee.co.th/portal/product/47200737085?pageEntry=product_list,https://seller.shopee.ph/portal/product/52300726750?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.480d1e13mlNhCX&productId=4515939970
Blocked Off,Icons,DS-NP,BLO-ICN-10355-DS-NP,Blacktron Renegade - 10355 - DS-NP,Base - Blank,10355,Blacktron Renegade-10355 - DS-NP - 114g-160m-a1.gcode,,114,160,33.00,23.00,Display Stand for Lego Icons Blacktron Renegade (10355),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for Lego Icons Blacktron Renegade (10355)
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/shop/pola-produktow/standardowa-podstawka-lego/podstawka-do-lego-icons-10355-blacktron-renegade/,,https://new.express.adobe.com/id/urn:aaid:sc:AP:b996d8da-f65f-4535-98f3-450f279d25ca?invite=true&accept=true%3Fpreload%3Dsharesheet&promoid=Z2G1FQKR&mv=other,https://drive.google.com/drive/folders/1LCaCqEfhIOeMbozDql7s_cFwtijtAPXp?usp=drive_link,,https://seller.shopee.com.my/portal/product/28076776701,https://seller.shopee.sg/portal/product/28876781669,https://seller.shopee.co.th/portal/product/47200737085?pageEntry=product_list,https://seller.shopee.ph/portal/product/52300726750?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.480d1e13mlNhCX&productId=4515939970
Blocked Off,Icons,FWM,BLO-ICN-10304-FWM,Chevrolet Camaro Z28 - 10304 - FWM,Flush Mount,10304,Chevrolet Camaro Z28-10304 - FWM - 4g-23m-a1m.gcode,,4,23,8.00,7.00,Flush Wall Mount For Lego Icons Chevrolet Camaro (10304),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Compatible with set number 10304
- Display stand wall mount specifically designed for Lego Icons Chevrolet Camaro (10304)
- Constructed with strong and durable PLA+ material
- Easy to assemble

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect instal of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://cults3d.com/en/3d-model/home/2-in-1-wall-mount-for-lego-creator-chevrolet-camaro-z28-10304-angled-flush,,https://new.express.adobe.com/id/urn:aaid:sc:AP:09ff75a8-19dd-5598-be84-141daa118a15?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/10eeFt-pdxQ3gAzMtx4Ds2IJkIbqS4ZJS?usp=drive_link,,https://seller.shopee.com.my/portal/product/28601079707,https://seller.shopee.sg/portal/product/29904306798,https://seller.shopee.co.th/portal/product/47050742068?pageEntry=product_list,https://seller.shopee.ph/portal/product/49700741919?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.40674edfcqWFoH&productId=4123475893
Blocked Off,Icons,WM,BLO-ICN-10304-WM,Chevrolet Camaro Z28 - 10304 - WM,Wall Mount,10304,Chevrolet Camaro Z28-10304 - WM - 54g-85m-a1m.gcode,,54,85,27.00,16.00,Wall Mount For Lego Icons Chevrolet Camaro (10304),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Compatible with set 10304
- Display stand wall mount specifically designed for Lego Icons Chevrolet Camaro (10304)
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect instal of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://cults3d.com/en/3d-model/home/2-in-1-wall-mount-for-lego-creator-chevrolet-camaro-z28-10304-angled-flush,,https://new.express.adobe.com/id/urn:aaid:sc:AP:09ff75a8-19dd-5598-be84-141daa118a15?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/10eeFt-pdxQ3gAzMtx4Ds2IJkIbqS4ZJS?usp=drive_link,,https://seller.shopee.com.my/portal/product/24878047618,https://seller.shopee.sg/portal/product/29404306726,https://seller.shopee.co.th/portal/product/44026095650?pageEntry=product_list,https://seller.shopee.ph/portal/product/26343497422?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.40674edfcqWFoH&productId=4123674191
Blocked Off,Icons,FWM,BLO-ICN-10321-FWM,Chevrolet Corvette 1961 - 10321 - FWM,Flush Mount,10321,to be made,,8,40,8.00,7.00,Flush Wall Mount For Lego Icons Chevrolet Corvette 1961 (10321),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Compatible with set number 10321
- Display stand wall mount specifically designed for Lego Icons Chevrolet Corvette 1961 (10321)
- Constructed with strong and durable PLA+ material
- Easy to assemble

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect install of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://cults3d.com/en/3d-model/home/gecko-bricks-wall-mount-for-chevrolet-corvette-1961-10321,,https://new.express.adobe.com/id/urn:aaid:sc:AP:7576518f-aaea-56ae-8dec-dd6bf521f55c?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1CaaN7dDc7CeyvdnDGoSUSmlPyuC-aUgn?usp=drive_link,,https://seller.shopee.com.my/portal/product/28151082445,https://seller.shopee.sg/portal/product/25232976423,https://seller.shopee.co.th/portal/product/44026095652?pageEntry=product_list,,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.40674edfcqWFoH&productId=4123520687
