,,,,,,,,,,,Price,,,,,,,,,Shopee,,,,Laz
Brand,Catagory,Type,SKU,Reference Name,Listing Variation Name,Set Number,File Name,Simplyprint File ID,Weight (g),Print Time,MY,SG,Listing Title,Listing Description,Ref,Files,Express,Pictures,Seal Sticker,My,SG,TH,PH,My
Blocked Off,Technic,FWM,BLO-TCH-42210-FWM,2 Fast 2 Furious Nissan Skyline GT-R (R34) Car - 42210 - FWM,Flush Mount,42210,2 Fast 2 Furious Nissan Skyline GT-R (R34) Car-42210 - FWM - 16g-48m-a1m,,16,48,7.00,6.00,Flush Wall Mount for Lego Technic 2 Fast 2 Furious Nissan Skyline GT-R R34 (42210),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details

* Compatible with LEGO Technic 2 Fast 2 Furious Nissan Skyline GT-R (R34) (42210)
* Constructed with strong and durable PETG material
* Easy to assemble
* Secure construction

Disclaimer = Warning = Alert

* LEGO is NOT included
* The wall mount instructions must be followed correctly. We provide no liability for incorrect instal of the wall mount.
* Do not wall mount above any person, animal or personal items
* Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.
",https://cults3d.com/en/3d-model/home/wall-mount-for-nissan-skyline-42210-gecko-bricks,https://drive.google.com/drive/folders/1jg9ypZl4w3jUaq-duPUiRvWtOz5WLFAX?usp=drive_link,https://new.express.adobe.com/id/urn:aaid:sc:AP:239defdc-b8a8-5d9a-8cc7-03a1d5f83d32?invite=true&accept=true%3Fpreload%3Dsharesheet&promoid=Z2G1FQKR&mv=other,https://drive.google.com/drive/folders/1RWFsV0NHhemfnSwF45Xl9MeyPrQdcaTE?usp=drive_link,,https://seller.shopee.com.my/portal/product/54556345512,https://seller.shopee.sg/portal/product/52656333220,https://seller.shopee.co.th/portal/product/47606365474,https://seller.shopee.ph/portal/product/47606365522,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.537f1e13ofDCj8&productId=14851261480
Blocked Off,Technic,WM,BLO-TCH-42210-WM,2 Fast 2 Furious Nissan Skyline GT-R (R34) Car - 42210 - WM,Wall Mount,42210,2 Fast 2 Furious Nissan Skyline GT-R (R34) Car-42210 - WM - 100g-137m-a1m,,100,137,27.00,17.00,Wall Mount for Lego Technic 2 Fast 2 Furious Nissan Skyline GT-R R34 (42210),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details

* Compatible with LEGO Technic 2 Fast 2 Furious Nissan Skyline GT-R (R34) (42210)
* Constructed with strong and durable PETG material
* Easy to assemble
* Secure construction

Disclaimer = Warning = Alert

* LEGO is NOT included
* The wall mount instructions must be followed correctly. We provide no liability for incorrect instal of the wall mount.
* Do not wall mount above any person, animal or personal items
* Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.
",https://cults3d.com/en/3d-model/home/wall-mount-for-nissan-skyline-42210-gecko-bricks,https://drive.google.com/drive/folders/1jg9ypZl4w3jUaq-duPUiRvWtOz5WLFAX?usp=drive_link,https://new.express.adobe.com/id/urn:aaid:sc:AP:239defdc-b8a8-5d9a-8cc7-03a1d5f83d32?invite=true&accept=true%3Fpreload%3Dsharesheet&promoid=Z2G1FQKR&mv=other,https://drive.google.com/drive/folders/1RWFsV0NHhemfnSwF45Xl9MeyPrQdcaTE?usp=drive_link,,https://seller.shopee.com.my/portal/product/47406365504,https://seller.shopee.sg/portal/product/42928846283,https://seller.shopee.co.th/portal/product/47606365505,https://seller.shopee.ph/portal/product/43128846308,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.537f1e13ofDCj8&productId=14851282663
Blocked Off,Technic,FWM,BLO-TCH-42154-FWM,2022 Ford GT - 42154 - FWM,Flush Mount,42154,2022 Ford GT-42154 - FWM - 8g-26m-a1m,,8,26,7.00,6.00,Flush Wall Mount For Lego Technic 2022 Ford GT (42154) (2 In 1),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Display stand wall mount specifically designed for LEGO Technic 2022 FORD GT
- Includes horizontal and vertical mount
- Constructed with strong and durable PLA+ material
- Easy to assemble

Package = Box = Contain
- 1x Horizontal Wall Mount
- 1x Vertical Wall Mount
- 3x Stud & Wall Screw

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect instal of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",,,,,,https://seller.shopee.com.my/portal/product/22389940191,https://seller.shopee.sg/portal/product/29304300094,https://seller.shopee.co.th/portal/product/54250716972,https://seller.shopee.ph/portal/product/40076125214,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.1d624edfjSI4Ou&productId=4111089179
Blocked Off,Technic,WM,BLO-TCH-42154-WM,2022 Ford GT - 42154 - WM,Wall Mount,42154,2022 Ford GT-42154 - WM - 100g-136M-a1,,100,136,37.00,23.00,Wall Mount For Lego Technic 2022 Ford GT (42154) (2 In 1),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Display stand wall mount specifically designed for LEGO Technic 2022 FORD GT
- Includes horizontal and vertical mount
- Constructed with strong and durable PLA+ material
- Easy to assemble

Package = Box = Contain
- 1x Horizontal Wall Mount
- 1x Vertical Wall Mount
- 3x Stud & Wall Screw

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect instal of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://cults3d.com/en/3d-model/home/wall-mount-for-lego-technic-2022-ford-gt-42154,https://drive.google.com/drive/folders/1HwSqB1GptdaipZTdGhHe6IIrXo2tJKgx?usp=drive_link,https://new.express.adobe.com/id/urn:aaid:sc:AP:eb39c2c5-3dbd-5bc2-995a-898d2a5ba8ca?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1WbSQrL59QgVRDA_tqanRqje5woqRYfn7?usp=drive_link,,https://seller.shopee.com.my/portal/product/22389940191,https://seller.shopee.sg/portal/product/29304300094,https://seller.shopee.co.th/portal/product/54250716972,https://seller.shopee.ph/portal/product/40076125214,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.1d624edfjSI4Ou&productId=4111089179
Blocked Off,Technic,WM,BLO-TCH-42114-WM,6x6 Volvo Articulated Hauler - 42114 - WM,Wall Mount,42114,6x6 Volvo Articulated Hauler-42114 - WM - 114g-161m-a1,,114,161,37.00,27.00,Wall Mount For Lego Technic 6X6 Volvo Articulated Hauler (42114),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Display stand wall mount specifically designed for LEGO Technic 6x6 Volvo Articulated Hauler 42114
- Includes horizontal and vertical mount
- Constructed with strong and durable PLA+ material
- Easy to assemble

Package = Box = Contain
- 1x Horizontal Wall Mount
- 1x Stud & Wall Screw

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect instal of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://cults3d.com/en/3d-model/home/gecko-bricks-wall-mount-for-technic-6x6-volvo-articulated-hauler-42114,https://drive.google.com/drive/folders/13VcxHj1w-H_9NatP4-mV24H1Y-ZmScN7?usp=sharing,https://new.express.adobe.com/id/urn:aaid:sc:AP:a54d04a5-8e89-5ab8-a278-922e6a7940ce?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1OTq12f7tdb67oSm6EiJiq5w4hbua4TE3?usp=drive_link,,https://seller.shopee.com.my/portal/product/24976574854,https://seller.shopee.sg/portal/product/27804297834,https://seller.shopee.co.th/portal/product/47050742107,https://seller.shopee.ph/portal/product/40076125252,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.495e4edfl4Emkn&productId=4123669127
Blocked Off,Technic,WM,BLO-TCH-42174-WM,Emirates Team New Zealand AC75 Yacht - 42174 - WM,Wall Mount,42174,Emirates Team New Zealand AC75 Yacht-42174 - WM - 124g-176m-a1,,124,176,37.00,27.00,Wall Mount For Lego Technic Emirates New Zealand AC75 Yacht (42174),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Wall mount display stand specifically designed for LEGO Technic Emirates New Zealand AC75 Yacht 42174
- Constructed with strong and durable PLA+ material
- Easy to assemble

Package = Box = Contain
- 1x Wall Mount
- 1x Stud & Wall Screw

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect instal of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.""",https://cults3d.com/en/3d-model/home/gecko-bricks-wall-mount-for-technic-emirates-new-zealand-ac75-yacht-42174,https://drive.google.com/drive/folders/1g0Ev6VZ1Roo0Oll-WfXE4QJUmUMzlmsb?usp=drive_link,https://new.express.adobe.com/id/urn:aaid:sc:AP:44250334-220b-5196-9a7b-d2239dda3db0?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1YPrRZJM3qbT_AZjOV0S3QActx4xZZhod?usp=drive_link,,https://seller.shopee.com.my/portal/product/28221322920?pageSource=&pageEntry=product_list,https://seller.shopee.sg/portal/product/28221322911,https://seller.shopee.co.th/portal/product/54350717048,https://seller.shopee.ph/portal/product/52900726789,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.22d91e13Eq8RLv&productId=4513166759
Blocked Off,Technic,DS,BLO-TCH-42145-DS,Airbus H175 Rescue Helicopter - 42145 - DS,Base - Text,42145,Airbus H175 Rescue Helicopter-42145 - DS - 156g-256m-a1 | Airbus H175 Rescue Helicopter-42145 - PLATE - 5g-17m-a1m,,156,256,37.00,27.00,Display Stand for Lego Technic Airbus H175 Rescue Helicopter (42145),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO Technic Airbus H175 Rescue Helicopter 42145
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/shop/pola-produktow/standardowa-podstawka-lego/podstawka-do-lego-technic-42145-airbus-h175-rescue-helicopter/,https://drive.google.com/drive/folders/1vtyh64bOFQ6zC3eD9oCXTst8aoVrD54S?usp=drive_link,https://new.express.adobe.com/id/urn:aaid:sc:AP:100fb06d-90f8-4366-8917-42b9ba6f659a?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1ZAkdrdRD8I9q_Rduvwbc3LYl5m2fM5RL?usp=drive_link,,https://seller.shopee.com.my/portal/product/27656053683,https://seller.shopee.sg/portal/product/28056053538,https://seller.shopee.co.th/portal/product/54050712141,https://seller.shopee.ph/portal/product/56850721923,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.37a34edf0QMM7o&productId=4195880714
Blocked Off,Technic,DS-NP,BLO-TCH-42145-DS-NP,Airbus H175 Rescue Helicopter - 42145 - DS-NP,Base - Blank,42145,Airbus H175 Rescue Helicopter-42145 - DS-NP - 159g-256m-a1,,159,256,37.00,27.00,Display Stand for Lego Technic Airbus H175 Rescue Helicopter (42145),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO Technic Airbus H175 Rescue Helicopter 42145
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",,,,,,https://seller.shopee.com.my/portal/product/27656053683,https://seller.shopee.sg/portal/product/28056053538,https://seller.shopee.co.th/portal/product/54050712141,https://seller.shopee.ph/portal/product/56850721923,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.37a34edf0QMM7o&productId=4195880714
Blocked Off,Technic,FWM,BLO-TCH-42160-FWM,Audi RS Q e-tron - 42160 - FWM,Flush Mount,42160,Audi RS Q e-tron-42160 - FWM - 14g-29m-a1m,,14,29,7.00,6.00,Flush Wall Mount For Lego Technic Audi Rs Q E-Tron (42160),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Compatible with set 42160
- Display stand wall mount specifically designed for LEGO Technic AUDI RS Q E-TRON (42160)
- Constructed with strong and durable PLA+ material
- Easy to assemble

Package = Box = Contain
- 1x Flush Wall Mount
- 1x Stud & Wall Screw

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect instal of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://cults3d.com/en/3d-model/home/gecko-bricks-wall-mount-for-technic-audi-rs-q-e-tron-42160,https://drive.google.com/drive/folders/1fFOzdDHzu5nfdnWDN_JwPzBe5hwpSzO4?usp=drive_link,https://new.express.adobe.com/id/urn:aaid:sc:AP:0a298cef-01e0-5cae-92b3-986f15d541bd?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1rzP63_JO_2ydHA3sBLCNyrzzjXmE58df?usp=drive_link,,https://seller.shopee.com.my/portal/product/25079751879,https://seller.shopee.sg/portal/product/28054300220,https://seller.shopee.co.th/portal/product/47200736965,https://seller.shopee.ph/portal/product/43376081374,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.38984edf9rcHUA&productId=4123592390
